example_group,Literal,y_true,y_pred,confidence,confidence_margin,top2_label,top2_confidence,is_correct,possible_error_reason
correct_high_confidence,Grupo sanguíneo: B Negativo,Z,Z,0.9847865415102744,0.982838167396657,V,0.0019483741136175025,True,broad ICD prefix ambiguity
correct_high_confidence,Grupo sanguíneo: 0 Rh negativo,Z,Z,0.9847583702031478,0.9829863324128147,V,0.0017720377903331032,True,digit or measurement-like signal
correct_high_confidence,Grupo sanguíneo: B negativo,Z,Z,0.9844242812071471,0.9824856978738051,V,0.0019385833333420038,True,broad ICD prefix ambiguity
correct_high_confidence,Grupo sanguíneo: A negativo,Z,Z,0.9844202969811099,0.9825373232812502,V,0.0018829736998597034,True,broad ICD prefix ambiguity
correct_high_confidence,Grupo sanguíneo: O Rh: POSITIVO,Z,Z,0.9841009406154304,0.9822089114338471,V,0.0018920291815833032,True,abbreviation or uppercase clinical shorthand
correct_high_confidence,Grupo sanguíneo: 0 rh positivo,Z,Z,0.9835162638953614,0.9815866289248971,O,0.0019296349704643035,True,digit or measurement-like signal
correct_high_confidence,Grupo sanguineo: A rh positivo,Z,Z,0.9834566011370787,0.9814771670304768,O,0.0019794341066018037,True,broad ICD prefix ambiguity
correct_high_confidence,GRUPO SANGUÍNEO: O POSITIVO,Z,Z,0.9832068637133694,0.9809403900359445,V,0.002266473677424904,True,abbreviation or uppercase clinical shorthand
correct_high_confidence,Grupo sanguíneo: AB Negativo,Z,Z,0.9829406321565873,0.9805879176694754,V,0.0023527144871119043,True,abbreviation or uppercase clinical shorthand
correct_high_confidence,Grupo: A Rh: negativo,Z,Z,0.982742896879845,0.9804753153291744,O,0.0022675815506705043,True,broad ICD prefix ambiguity
correct_high_confidence,Grupo sanguíneo: A positivo,Z,Z,0.9824499805129063,0.9803478604350929,V,0.002102120077813404,True,broad ICD prefix ambiguity
correct_high_confidence,Grupo sanguineo B positivo,Z,Z,0.9821435615644758,0.9797428708015095,O,0.0024006907629663047,True,broad ICD prefix ambiguity
correct_low_confidence,lipotimia,R,R,0.1759016763333321,0.007814488936087327,3,0.16808718739724476,True,short literal / insufficient context; low confidence margin / similar categories
correct_low_confidence,lma,9,9,0.18183423622217884,0.03076714544518555,8,0.1510670907769933,True,short literal / insufficient context; low confidence margin / similar categories
correct_low_confidence,CENS,0,0,0.18207710407624272,0.010010245536841628,8,0.1720668585394011,True,short literal / insufficient context; abbreviation or uppercase clinical shorthand; low confidence margin / similar categories
correct_low_confidence,EXPULSIVO PROLONGADO,O,O,0.18900930047509112,0.057898053188045306,L,0.13111124728704582,True,short literal / insufficient context; abbreviation or uppercase clinical shorthand; low confidence margin / similar categories
correct_low_confidence,eosinofílica,D,D,0.20098573513858992,0.021661521218044932,D,0.17932421392054498,True,short literal / insufficient context; low confidence margin / similar categories
correct_low_confidence,cuadro vagal,R,R,0.2051640022134143,0.013819302791676591,O,0.1913446994217377,True,short literal / insufficient context; low confidence margin / similar categories
correct_low_confidence,retirada dvp,0,0,0.21475614321555175,0.05442195386477139,4,0.16033418935078037,True,short literal / insufficient context; low confidence margin / similar categories
correct_low_confidence,Neurinoma de Morton,G,G,0.22111883036258992,0.03530764938817976,D,0.18581118097441016,True,low confidence margin / similar categories
correct_low_confidence,ira 2 qx,5,5,0.22765676330532825,0.04381152345909087,9,0.18384523984623738,True,digit or measurement-like signal; low confidence margin / similar categories
correct_low_confidence,úlceras vulva,N,N,0.22902827574174783,0.018518105326718548,6,0.21051017041502929,True,short literal / insufficient context; low confidence margin / similar categories
